securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
HDFC Bank Ltd,0P0000C3NZ,0P0000C3NZ,E,7.01833,17248976.0,190959556.0,0.0,India,HDFCBANK,9.1838,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [171648673.0, 183182867.0, 187762907.0, 190959556.0]}",Equity,INE040A01034,,,,,,2023-07-18T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,23.015,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,IND,Indian Rupee,190959556.12,False
Reliance Industries Ltd,0P0000B1W1,0P0000B1W1,E,6.51667,10369488.0,177310154.0,0.0,India,RELIANCE,23.6836,,3,Fairly Valued,,Energy,energy,"{'trend': [148002244.0, 165792701.0, 175599465.0, 177310154.0]}",Equity,INE002A01018,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,39.7317,2.0,2025-12-03T06:00:00.000,High,,,3,Quan,ST,IND,Indian Rupee,177310153.95,False
ICICI Bank Ltd,0P0000BIOD,0P0000BIOD,E,4.44205,8029792.0,120862344.0,0.0,India,ICICIBANK,3.5923,16.9492,3,Fairly Valued,,Financial Services,financialService,"{'trend': [113263715.0, 116197246.0, 120476496.0, 120862344.0]}",Equity,INE090A01021,,,,,,2019-09-23T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,16.9815,4.0,2025-12-03T06:00:00.000,Low,,,3,Quan,ST,IND,Indian Rupee,120862344.31,False
Bharti Airtel Ltd,0P0000BJR2,0P0000BJR2,E,3.55013,4250820.0,96594362.0,0.0,India,BHARTIARTL,30.353,,3,Fairly Valued,,Communication Services,communicationsServices,"{'trend': [82070396.0, 92274218.0, 96511952.0, 96594362.0]}",Equity,INE397D01024,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,19.204,4.0,2025-12-03T06:00:00.000,Low,,,3,Quan,ST,IND,Indian Rupee,96594362.5,False
Infosys Ltd,0P0000AKOJ,0P0000AKOJ,E,3.41189,5249026.0,92833197.0,0.0,India,INFY,-17.3025,21.692,3,Fairly Valued,Wide,Technology,technology,"{'trend': [80959988.0, 85561286.0, 90443958.0, 92833197.0]}",Equity,INE009A01021,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,13.1088,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,IND,Indian Rupee,92833197.37,False
Mahindra & Mahindra Ltd,0P0000CA2F,0P0000CA2F,E,2.11246,1416940.0,57477378.0,0.0,India,M&M,20.7811,,3,Fairly Valued,,Consumer Cyclical,consumerCyclical,"{'trend': [50811519.0, 53149687.0, 57515600.0, 57477378.0]}",Equity,INE101A01026,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,26.2795,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,IND,Indian Rupee,57477377.99,False
Tata Consultancy Services Ltd,0P0000BEC4,0P0000BEC4,E,2.02092,1556540.0,54986664.0,0.0,India,TCS,-24.8364,21.4592,2,Overvalued,Wide,Technology,technology,"{'trend': [47045083.0, 51200024.0, 52759703.0, 54986664.0]}",Equity,INE467B01029,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,15.7547,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,IND,Indian Rupee,54986664.0,False
Axis Bank Ltd,0P0000CM8C,0P0000CM8C,E,1.80817,3492792.0,49197901.0,0.0,India,532215,12.3691,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [41358262.0, 46316715.0, 48288000.0, 49197901.0]}",Equity,INE238A01034,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,17.79,4.0,2025-12-03T06:00:00.000,Low,,,3,Quan,ST,IND,Indian Rupee,49197901.37,False
Bajaj Finance Ltd,0P0000BEJ2,0P0000BEJ2,E,1.75442,4285720.0,47735583.0,0.0,India,500034,43.6253,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [44796329.0, 48072556.0, 48036375.0, 47735583.0]}",Equity,INE296A01032,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,17.5458,4.0,2025-12-03T06:00:00.000,Low,,,3,Quan,ST,IND,Indian Rupee,47735583.07,False
Larsen & Toubro Ltd,0P0000C9DZ,0P0000C9DZ,E,1.67335,1027456.0,45529645.0,0.0,India,LT,6.4302,,4,Undervalued,,Industrials,industrials,"{'trend': [39338904.0, 44548968.0, 45172412.0, 45529645.0]}",Equity,INE018A01030,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,35.7947,2.0,2025-12-03T06:00:00.000,High,,,4,Quan,ST,IND,Indian Rupee,45529645.05,False
Kotak Mahindra Bank Ltd,0P0000BHY1,0P0000BHY1,E,1.47818,1666824.0,40219243.0,0.0,India,KOTAKBANK,23.2035,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [34755879.0, 37690871.0, 38254661.0, 40219243.0]}",Equity,INE237A01028,,,,,,2023-03-20T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,16.959,4.0,2025-12-03T06:00:00.000,Low,,,3,Quan,ST,IND,Indian Rupee,40219242.82,False
Maruti Suzuki India Ltd,0P0000BU88,0P0000BU88,E,1.31935,199628.0,35897911.0,0.0,India,MARUTI,49.1574,27.1003,2,Overvalued,,Consumer Cyclical,consumerCyclical,"{'trend': [33483011.0, 34756288.0, 34290744.0, 35897911.0]}",Equity,INE585B01010,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,30.2476,2.0,2025-12-03T06:00:00.000,High,,,2,Quan,ST,IND,Indian Rupee,35897910.95,False
Hindustan Unilever Ltd,0P0000C9F2,0P0000C9F2,E,1.26732,1351328.0,34482008.0,0.0,India,500696,-1.7274,,3,Fairly Valued,,Consumer Defensive,consumerDefensive,"{'trend': [35554269.0, 35837539.0, 36009561.0, 34482008.0]}",Equity,INE030A01027,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,19.1153,4.0,2025-12-03T06:00:00.000,Low,,,3,Quan,ST,IND,Indian Rupee,34482008.04,False
Sun Pharmaceuticals Industries Ltd,0P0000B808,0P0000B808,E,1.19347,1623548.0,32472757.0,0.0,India,SUNPHARMA,0.2243,,3,Fairly Valued,,Healthcare,healthcare,"{'trend': [27085184.0, 29525964.0, 32125810.0, 32472757.0]}",Equity,INE044A01036,,,,,,2023-06-08T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,22.7693,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,IND,Indian Rupee,32472756.85,False
State Bank of India,0P0000BI86,0P0000BI86,E,1.09996,2807356.0,29928456.0,0.0,India,SBIN,14.6831,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [25629176.0, 28294985.0, 29691935.0, 29928456.0]}",Equity,INE062A01020,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,21.7627,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,IND,Indian Rupee,29928456.28,False
