securityName,weighting,country,sector,holdingType,asOf
NASPERS LIMITED LTD CLASS N,12.03,South Africa,Consumer Cyclical,Equity,2025-09-30
KUWAIT FINANCE HOUSE,6.29,Kuwait,Financial Services,Equity,2025-09-30
QATAR NATIONAL BANK,5.06,Qatar,Financial Services,Equity,2025-09-30
FIRSTRAND LTD,5.02,South Africa,Financial Services,Equity,2025-09-30
VALTERRA PLATINUM LTD,4.21,South Africa,Basic Materials,Equity,2025-09-30
FIRST ABU DHABI BANK,4.16,United Arab Emirates,Financial Services,Equity,2025-09-30
STANDARD BANK GROUP LTD,3.95,South Africa,Financial Services,Equity,2025-09-30
CAPITEC LTD,3.90,South Africa,Financial Services,Equity,2025-09-30
POWSZECHNA KASA OSZCZEDNOSCI BANK,3.73,Poland,Financial Services,Equity,2025-09-30
SAUDI BASIC INDUSTRIES,3.19,Saudi Arabia,Basic Materials,Equity,2025-09-30
MTN GROUP LTD,3.06,South Africa,Communication Services,Equity,2025-09-30
EMIRATES NBD,2.78,United Arab Emirates,Financial Services,Equity,2025-09-30
NATIONAL BANK OF GREECE SA,2.71,Greece,Financial Services,Equity,2025-09-30
IMPALA PLATINUM LTD,2.56,South Africa,Basic Materials,Equity,2025-09-30
ABU DHABI COMMERCIAL BANK,2.51,United Arab Emirates,Financial Services,Equity,2025-09-30
PIRAEUS FINANCIAL HOLDINGS SA,2.11,Greece,Financial Services,Equity,2025-09-30
ALPHA BANK SA,2.02,Greece,Financial Services,Equity,2025-09-30
ABSA GROUP LTD,1.95,South Africa,Financial Services,Equity,2025-09-30
ABU DHABI ISLAMIC BANK,1.95,United Arab Emirates,Financial Services,Equity,2025-09-30
ALINMA BANK,1.92,Saudi Arabia,Financial Services,Equity,2025-09-30
SANLAM LIMITED LTD,1.90,South Africa,Financial Services,Equity,2025-09-30
BID CORPORATION LTD,1.84,South Africa,Consumer Defensive,Equity,2025-09-30
ALLEGRO SA,1.46,Poland,Consumer Cyclical,Equity,2025-09-30
DR SULAIMAN AL HABIB MEDICAL GRP,1.34,Saudi Arabia,Healthcare,Equity,2025-09-30
DISCOVERY LTD,1.33,South Africa,Financial Services,Equity,2025-09-30
KGHM POLSKA MIEDZ SA,1.29,Poland,Basic Materials,Equity,2025-09-30
NEDBANK GROUP LTD,1.24,South Africa,Financial Services,Equity,2025-09-30
SANTANDER BANK POLSKA SA,1.19,Poland,Financial Services,Equity,2025-09-30
CLICKS GROUP LTD,1.07,South Africa,Consumer Defensive,Equity,2025-09-30
VODACOM GROUP LTD,1.05,South Africa,Communication Services,Equity,2025-09-30
NEPI ROCKCASTLE NV,1.05,South Africa,Real Estate,Equity,2025-09-30
COMMERCIAL INTERNATIONAL BANK EGYP,1.03,Egypt,Financial Services,Equity,2025-09-30
AKBANK A,1.02,Turkey,Financial Services,Equity,2025-09-30
BIDVEST GROUP LTD,0.88,South Africa,Industrials,Equity,2025-09-30
KOMERCNI BANK,0.83,Czech Republic,Financial Services,Equity,2025-09-30
MBANK SA,0.81,Poland,Financial Services,Equity,2025-09-30
OLD MUTUAL LIMITED LTD,0.72,South Africa,Financial Services,Equity,2025-09-30
HELLENIC TELECOMMUNICATIONS ORGANI,0.69,Greece,Communication Services,Equity,2025-09-30
SALIK COMPANY P.J.S.C,0.68,United Arab Emirates,Industrials,Equity,2025-09-30
TURKCELL ILETISIM HIZMETLERI A,0.62,Turkey,Communication Services,Equity,2025-09-30
YAPI VE KREDI BANKASI A,0.61,Turkey,Financial Services,Equity,2025-09-30
-,0.61,Other,Other,,2025-09-30
MONETA MONEY BNK,0.45,Czech Republic,Financial Services,Equity,2025-09-30
ZABKA GROUP SOCIETE ANONYME SA,0.41,Poland,Consumer Defensive,Equity,2025-09-30
BUDIMEX SA,0.40,Poland,Industrials,Equity,2025-09-30
ARABIAN INTERNET AND COMMUNICATION,0.36,Saudi Arabia,Technology,Equity,2025-09-30
