securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,hasIssuerRating,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
ASML Holding NV,0P0000ALDL,0P0000ALDL,E,3.693,506978.0,631086214.0,0.0,Netherlands,ASML,73.4969,,2,Overvalued,Wide,Technology,technology,"{'trend': [423242900.0, 437665921.0, 607022016.0, 631086214.0]}",Equity,NL0010273215,,,,,,2010-10-31T05:00:00.000,,,EUR,,,,,0,,,,False,,,,0,,,,8.9289,5.0,2026-01-07T06:00:00.000,Negligible,,,2,Qual,ST,NLD,Euro,631086214.4,False
Roche Holding AG,0P0000AZ48,0P0000AZ48,E,2.17459,917651.0,371608656.0,0.0,Switzerland,ROG,27.8361,,3,Fairly Valued,Wide,Healthcare,healthcare,"{'trend': [275689211.0, 303252920.0, 346015068.0, 371608656.0]}",Equity,CH0012032048,,304006,corporate,Preferred,Health-Care,2017-10-31T05:00:00.000,,,CHF,,,,,0,,,,False,,,,0,,,,21.1432,3.0,2026-01-07T06:00:00.000,Medium,,,3,Qual,ST,CHE,Swiss Franc,371608656.49,False
AstraZeneca PLC,0P00007NYP,0P00007NYP,E,2.11073,2025460.0,360695495.0,0.0,United Kingdom,AZN,34.0926,,2,Overvalued,Wide,Healthcare,healthcare,"{'trend': [294316037.0, 299712143.0, 312962990.0, 360695495.0]}",Equity,GB0009895292,G0593M107,,,,,2010-10-31T05:00:00.000,,,GBP,,,,,0,,,,False,,,,0,,,,18.2653,4.0,2026-01-07T06:00:00.000,Low,,,2,Qual,ST,GBR,British Pound Sterling,360695494.93,False
Novartis AG Registered Shares,0P0000A5FH,0P0000A5FH,E,2.04122,2497293.0,348818666.0,0.0,Switzerland,NOVN,34.4507,,2,Overvalued,Wide,Healthcare,healthcare,"{'trend': [256606423.0, 275593529.0, 307759517.0, 348818666.0]}",Equity,CH0012005267,,,,,,2012-04-30T05:00:00.000,,,CHF,,,,,0,,,,False,,,,0,,,,10.9336,4.0,2026-01-07T06:00:00.000,Low,,,2,Qual,ST,CHE,Swiss Franc,348818665.87,False
HSBC Holdings PLC,0P00007OFH,0P00007OFH,E,1.95615,22479837.0,334280521.0,0.0,United Kingdom,HSBA,48.6655,,2,Overvalued,None,Financial Services,financialService,"{'trend': [252297246.0, 283312086.0, 327615063.0, 334280521.0]}",Equity,GB0005405286,,,,,,2010-10-31T05:00:00.000,,,GBP,,,,,0,,,,False,,,,0,,,,13.4996,4.0,2026-01-07T06:00:00.000,Low,,,2,Qual,ST,GBR,British Pound Sterling,334280520.86,False
Nestle SA,0P0000A5EE,0P0000A5EE,E,1.69302,3365315.0,289314870.0,0.0,Switzerland,NESN,1.9675,,4,Undervalued,Wide,Consumer Defensive,consumerDefensive,"{'trend': [263241545.0, 266814954.0, 265693562.0, 289314870.0]}",Equity,CH0038863350,,,,,,2010-10-31T05:00:00.000,,,CHF,,,,,0,,,,False,,,,0,,,,17.5867,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,CHE,Swiss Franc,289314870.33,False
Shell PLC,0P00007OU3,0P00007OU3,E,1.47874,7511790.0,252696616.0,0.0,United Kingdom,SHEL,13.6087,,3,Fairly Valued,None,Energy,energy,"{'trend': [221702685.0, 221369278.0, 239931310.0, 252696616.0]}",Equity,GB00BP6MXD84,,,,,,2012-04-30T05:00:00.000,,,GBP,,,,,0,,,,False,,,,0,,,,31.3778,2.0,2026-01-07T06:00:00.000,High,,,3,Qual,ST,GBR,British Pound Sterling,252696615.6,False
Siemens AG,0P00009QS2,0P00009QS2,E,1.40275,979216.0,239712077.0,0.0,Germany,SIE,11.5952,,3,Fairly Valued,Wide,Industrials,industrials,"{'trend': [204231929.0, 220005086.0, 247961023.0, 239712077.0]}",Equity,DE0007236101,,,,,,2012-04-30T05:00:00.000,,,EUR,,,,,0,,,,False,,,,0,,,,22.9432,3.0,2026-01-07T06:00:00.000,Medium,,,3,Qual,ST,DEU,Euro,239712076.8,False
SAP SE,0P00009QRW,0P00009QRW,E,1.34582,1326467.0,229982848.0,0.0,Germany,SAP,-37.3543,,5,Undervalued,Wide,Technology,technology,"{'trend': [252723810.0, 259732860.0, 223526896.0, 229982848.0]}",Equity,DE0007164600,,,,,,2010-10-31T05:00:00.000,,,EUR,,,,,0,,,,False,,,,0,,,,11.2255,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,DEU,Euro,229982848.46,True
Banco Santander SA,0P0000A5JA,0P0000A5JA,E,1.21965,19442430.0,208422850.0,0.0,Spain,SAN,88.7094,,2,Overvalued,Narrow,Financial Services,financialService,"{'trend': [163670857.0, 183499628.0, 206440029.0, 208422850.0]}",Equity,ES0113900J37,,,,,,2010-10-31T05:00:00.000,,,EUR,,,,,0,,,,False,,,,0,,,,9.889,5.0,2026-01-07T06:00:00.000,Negligible,,,2,Qual,ST,ESP,Euro,208422849.6,False
Schneider Electric SE,0P00009WP6,0P00009WP6,E,1.15417,755105.0,197233426.0,0.0,France,SU,6.4927,,3,Fairly Valued,Wide,Industrials,industrials,"{'trend': [158591664.0, 166646047.0, 179902904.0, 197233426.0]}",Equity,FR0000121972,,,,,,2010-10-31T05:00:00.000,,,EUR,,,,,0,,,,False,,,,0,,,,7.1448,5.0,2026-01-07T06:00:00.000,Negligible,,,3,Qual,ST,FRA,Euro,197233426.0,False
TotalEnergies SE,0P00009WRK,0P00009WRK,E,1.102,2882126.0,188318113.0,0.0,France,TTE,19.0087,,3,Fairly Valued,None,Energy,energy,"{'trend': [154139126.0, 149545216.0, 173593721.0, 188318113.0]}",Equity,FR0000120271,F92124100,,,,,2012-04-30T05:00:00.000,,,EUR,,,,,0,,,,False,,,,0,,,,24.4611,3.0,2026-01-07T06:00:00.000,Medium,,,3,Qual,ST,FRA,Euro,188318112.84,False
Allianz SE,0P00009QNO,0P00009QNO,E,1.07979,495362.0,184522345.0,0.0,Germany,ALV,21.5,,3,Fairly Valued,None,Financial Services,financialService,"{'trend': [171028291.0, 181108433.0, 181965241.0, 184522345.0]}",Equity,DE0008404005,,,,,,2012-04-30T05:00:00.000,,,EUR,,,,,0,,,,False,,,,0,,,,13.1641,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,DEU,Euro,184522345.0,False
Unilever PLC,0P00007P0W,0P00007P0W,E,1.04511,2925465.0,178594987.0,0.0,United Kingdom,ULVR,17.6994,,3,Fairly Valued,Wide,Consumer Defensive,consumerDefensive,"{'trend': [155836658.0, 152288209.0, 164551560.0, 178594987.0]}",Equity,GB00BVZK7T90,,,,,,2010-10-31T05:00:00.000,,,GBP,,,,,0,,,,False,,,,0,,,,16.0781,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,GBR,British Pound Sterling,178594987.34,False
Novo Nordisk AS Class B,0P0000A5BQ,0P0000A5BQ,E,1.02308,4195980.0,174831330.0,0.0,Denmark,NOVO B,-46.6025,,4,Undervalued,Wide,Healthcare,healthcare,"{'trend': [162201736.0, 170549752.0, 204524005.0, 174831330.0]}",Equity,DK0062498333,,,,,,2010-10-31T05:00:00.000,,,DKK,,,,,0,,,,False,,,,0,,,,18.7424,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,DNK,Danish Krone,174831329.97,True
Lvmh Moet Hennessy Louis Vuitton SE,0P00009WL3,0P00009WL3,E,1.02197,327106.0,174641893.0,0.0,France,MC,-21.1898,,4,Undervalued,Wide,Consumer Cyclical,consumerCyclical,"{'trend': [191167932.0, 196930110.0, 176206258.0, 174641893.0]}",Equity,FR0000121014,,,,,,2010-10-31T05:00:00.000,,,EUR,,,,,0,,,,False,,,,0,,,,13.5521,4.0,2026-01-07T06:00:00.000,Low,,,5,Qual,ST,FRA,Euro,174641893.4,False
Safran SA,0P00009WOR,0P00009WOR,E,0.99404,489251.0,169867947.0,0.0,France,SAF,36.9048,,3,Fairly Valued,Wide,Industrials,industrials,"{'trend': [129356228.0, 137052329.0, 145051900.0, 169867947.0]}",Equity,FR0000073272,,,,,,2010-10-31T05:00:00.000,,,EUR,,,,,0,,,,False,,,,0,,,,27.0854,3.0,2026-01-07T06:00:00.000,Medium,,,2,Qual,ST,FRA,Euro,169867947.2,False
Siemens Energy AG Ordinary Shares,0P0001KTBY,0P0001KTBY,E,0.98486,1009895.0,168299002.0,0.0,Germany,ENR,170.6891,,2,Overvalued,Narrow,Industrials,industrials,"{'trend': [96993819.0, 113492050.0, 143786776.0, 168299002.0]}",Equity,DE000ENER6Y0,,,,,,2020-09-30T05:00:00.000,,,EUR,,,,,0,,,,False,,,,0,,,,12.408,4.0,2026-01-07T06:00:00.000,Low,,,2,Qual,ST,DEU,Euro,168299001.75,False
Rolls-Royce Holdings PLC,0P00007OU0,0P00007OU0,E,0.98456,11086348.0,168248272.0,0.0,United Kingdom,RR.,107.672,,2,Overvalued,Narrow,Industrials,industrials,"{'trend': [123146576.0, 136834024.0, 152545463.0, 168248272.0]}",Equity,GB00B63H8491,,,,,,2010-10-31T05:00:00.000,,,GBP,,,,,0,,,,False,,,,0,,,,29.7493,3.0,2026-01-07T06:00:00.000,Medium,,,3,Qual,ST,GBR,British Pound Sterling,168248271.85,False
Iberdrola SA,0P0000A4Z3,0P0000A4Z3,E,0.93911,8004100.0,160482205.0,0.0,Spain,IBE,52.0804,,2,Overvalued,None,Utilities,utilities,"{'trend': [132566468.0, 137950944.0, 149201426.0, 160482205.0]}",Equity,ES0144580Y14,,,,,,2010-10-31T05:00:00.000,,,EUR,,,,,0,,,,False,,,,0,,,,20.322,3.0,2026-01-07T06:00:00.000,Medium,,,2,Qual,ST,ESP,Euro,160482205.0,False
ABB Ltd,0P0000A5G8,0P0000A5G8,E,0.93627,2066699.0,159996655.0,0.0,Switzerland,ABBN,35.9435,,2,Overvalued,Wide,Industrials,industrials,"{'trend': [116310476.0, 122367040.0, 148361759.0, 159996655.0]}",Equity,CH0012221716,,,,,,2010-10-31T05:00:00.000,,,CHF,,,,,0,,,,False,,,,0,,,,17.3713,4.0,2026-01-07T06:00:00.000,Low,,,1,Qual,ST,CHE,Swiss Franc,159996654.86,False
Airbus SE,0P00009WFE,0P00009WFE,E,0.9046,770800.0,154583844.0,34.0,Netherlands,AIR,12.5385,,3,Fairly Valued,Wide,Industrials,industrials,"{'trend': [142632686.0, 143625530.0, 147228849.0, 154583844.0]}",Equity,NL0000235190,,,,,,2012-04-30T05:00:00.000,,,EUR,,,,,0,,,,False,,,,0,,,,20.333,3.0,2026-01-07T06:00:00.000,Medium,,,2,Qual,ST,NLD,Euro,154583843.55,False
UniCredit SpA,0P00009DOL,0P00009DOL,E,0.88889,2034554.0,151899802.0,0.0,Italy,UCG,58.1186,,2,Overvalued,None,Financial Services,financialService,"{'trend': [118759219.0, 134679279.0, 147192478.0, 151899802.0]}",Equity,IT0005239360,,,,,,2010-10-31T05:00:00.000,,,EUR,,,,,0,,,,False,,,,0,,,,10.5531,4.0,2026-01-07T06:00:00.000,Low,,,2,Qual,ST,ITA,Euro,151899801.64,False
Banco Bilbao Vizcaya Argentaria SA,0P0000A5RZ,0P0000A5RZ,E,0.88102,7527701.0,150554020.0,0.0,Spain,BBVA,69.1454,,2,Overvalued,Narrow,Financial Services,financialService,"{'trend': [127281454.0, 141635466.0, 159042891.0, 150554020.0]}",Equity,ES0113211835,,,,,,2010-10-31T05:00:00.000,,,EUR,,,,,0,,,,False,,,,0,,,,9.5643,5.0,2026-01-07T06:00:00.000,Negligible,,,2,Qual,ST,ESP,Euro,150554020.0,False
Deutsche Telekom AG,0P00009QP1,0P00009QP1,E,0.87065,4596311.0,148782587.0,0.0,Germany,DTE,-2.3588,,3,Fairly Valued,Narrow,Communication Services,communicationsServices,"{'trend': [116208190.0, 119115135.0, 127532492.0, 148782587.0]}",Equity,DE0005557508,,,,,,2012-04-30T05:00:00.000,,,EUR,,,,,0,,,,False,,,,0,,,,16.2697,4.0,2026-01-07T06:00:00.000,Low,,,5,Qual,ST,DEU,Euro,148782587.07,False
UBS Group AG Registered Shares,0P0000A5G3,0P0000A5G3,E,0.86772,4049911.0,148282832.0,0.0,Switzerland,UBSG,11.5256,,3,Fairly Valued,Narrow,Financial Services,financialService,"{'trend': [124274695.0, 150149513.0, 158456185.0, 148282832.0]}",Equity,CH0244767585,H42097107,,,,,2015-04-30T05:00:00.000,,,CHF,,,,,0,,,,False,,,,0,,,,14.5638,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,CHE,Swiss Franc,148282831.61,False
British American Tobacco PLC,0P00007O1O,0P00007O1O,E,0.82917,2846777.0,141694635.0,0.0,United Kingdom,BATS,55.5525,,3,Fairly Valued,Wide,Consumer Defensive,consumerDefensive,"{'trend': [132391649.0, 128622535.0, 141670848.0, 141694635.0]}",Equity,GB0002875804,,,,,,2023-02-01T06:00:00.000,,,GBP,,,,,0,,,,False,,,,0,,,,21.0376,3.0,2026-01-07T06:00:00.000,Medium,,,2,Qual,ST,GBR,British Pound Sterling,141694635.21,False
GSK PLC,0P00007OD0,0P00007OD0,E,0.81019,5327705.0,138450128.0,0.0,United Kingdom,GSK,60.5565,,3,Fairly Valued,Wide,Healthcare,healthcare,"{'trend': [99240520.0, 103910180.0, 113584559.0, 138450128.0]}",Equity,GB00BN7SWP63,,,,,,2010-10-31T05:00:00.000,,,GBP,,,,,0,,,,False,,,,0,,,,13.6722,4.0,2026-01-07T06:00:00.000,Low,,,2,Qual,ST,GBR,British Pound Sterling,138450128.22,False
