securityName,weighting,country,sector,holdingType,asOf
OTP BANK PLC,16.25,Hungary,Financial Services,Equity,2026-02-18
PKO BANK POLSKI,12.60,Poland,Financial Services,Equity,2026-02-18
ORLEN SA,10.10,Poland,Energy,Equity,2026-02-18
KGHM POLSKA MIEDZ S.A.,6.80,Poland,Basic Materials,Equity,2026-02-18
BANK PEKAO SA,6.74,Poland,Financial Services,Equity,2026-02-18
POWSZECHNY ZAKLAD UBEZPIECZEN,6.72,Poland,Financial Services,Equity,2026-02-18
CEZ AS,4.36,Czech Republic,Utilities,Equity,2026-02-18
SANTANDER BANK POLSKA SA,4.01,Poland,Financial Services,Equity,2026-02-18
LPP SA,3.70,Poland,Consumer Cyclical,Equity,2026-02-18
ALLEGRO.EU SA,3.70,Poland,Consumer Cyclical,Equity,2026-02-18
NaN,25.02,NaN,NaN,NaN,2026-02-18
