securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,hasIssuerRating,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
Novo Nordisk AS Class B,0P0000A5BQ,0P0000A5BQ,E,9.87744,647810.0,26991903.0,0.0,Denmark,NOVO B,-46.6025,,4,Undervalued,Wide,Healthcare,healthcare,"{'trend': [27532926.0, 28720851.0, 32131556.0, 26991903.0]}",Equity,DK0062498333,,,,,,2025-06-02T05:00:00.000,,,DKK,,,,,0,,,,False,,,,0,,,,18.7424,4,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,DNK,Danish Krone,26991902.69,True
Spotify Technology SA,0P0001CX12,0P0001CX12,E,4.64959,31452.0,12705842.0,0.0,United States,SPOT,-24.4955,,3,Fairly Valued,Narrow,Communication Services,communicationsServices,"{'trend': [16399519.0, 15722994.0, 13322651.0, 12705842.0]}",Equity,LU1778762911,L8681T102,,,,,2025-06-02T05:00:00.000,,,USD,,,,,0,,,,False,,,,0,,,,19.0325,4,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,LUX,US Dollar,12705841.79,False
Investor AB Class B,0P0000A6GL,0P0000A6GL,E,4.64136,366472.0,12683347.0,0.0,Sweden,INVE B,15.5164,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [11037805.0, 11385907.0, 11934325.0, 12683347.0]}",Equity,SE0015811963,,,,,,2025-06-02T05:00:00.000,,,SEK,,,,,0,,,,False,,,,0,,,,10.593,4,2026-01-07T06:00:00.000,Low,,,3,Quan,ST,SWE,Swedish Krona,12683347.34,False
Nordea Bank Abp,0P0000A6IV,0P0000A6IV,E,3.82885,624659.0,10463038.0,0.0,Sweden,NDA SE,37.721,,2,Overvalued,None,Financial Services,financialService,"{'trend': [9722957.0, 10240515.0, 10122599.0, 10463038.0]}",Equity,FI4000297767,X5S8VL105,,,,,2025-06-02T05:00:00.000,,,SEK,,,,,0,,,,False,,,,0,,,,13.1462,4,2026-01-07T06:00:00.000,Low,,,2,Qual,ST,FIN,Swedish Krona,10463038.25,False
Volvo AB Class B,0P0000A6H8,0P0000A6H8,E,3.80513,319609.0,10398215.0,0.0,Sweden,VOLV B,11.2226,,2,Overvalued,Narrow,Industrials,industrials,"{'trend': [8455441.0, 8893043.0, 9802747.0, 10398215.0]}",Equity,SE0000115446,928856301,,,,,2025-06-02T05:00:00.000,,,SEK,,,,,0,,,,False,,,,0,,,,26.8944,3,2026-01-07T06:00:00.000,Medium,,,2,Qual,ST,SWE,Swedish Krona,10398214.84,False
Atlas Copco AB Class A,0P0000A6G8,0P0000A6G8,E,3.62649,540286.0,9910053.0,0.0,Sweden,ATCO A,7.0327,,3,Fairly Valued,Wide,Industrials,industrials,"{'trend': [7969691.0, 8436251.0, 9414257.0, 9910053.0]}",Equity,SE0017486889,,,,,,2025-06-02T05:00:00.000,,,SEK,,,,,0,,,,False,,,,0,,,,20.0561,3,2026-01-07T06:00:00.000,Medium,,,3,Qual,ST,SWE,Swedish Krona,9910052.6,False
DSV AS,0P0000A5Q9,0P0000A5Q9,E,3.40989,41109.0,9318132.0,0.0,Denmark,DSV,13.8927,,3,Fairly Valued,Narrow,Industrials,industrials,"{'trend': [8209994.0, 9049968.0, 9647351.0, 9318132.0]}",Equity,DK0060079531,,,,,,2025-06-02T05:00:00.000,,,DKK,,,,,0,,,,False,,,,0,,,,12.6719,4,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,DNK,Danish Krone,9318131.71,False
Sandvik AB,0P0000A6GY,0P0000A6GY,E,2.80521,214466.0,7665735.0,0.0,Sweden,SAND,63.8521,,1,Overvalued,Wide,Industrials,industrials,"{'trend': [5667950.0, 6052397.0, 7211251.0, 7665735.0]}",Equity,SE0000667891,,,,,,2025-06-02T05:00:00.000,,,SEK,,,,,0,,,,False,,,,0,,,,24.0373,3,2026-01-07T06:00:00.000,Medium,,,1,Qual,ST,SWE,Swedish Krona,7665735.29,False
Assa Abloy AB Class B,0P0000A6HH,0P0000A6HH,E,2.61896,201607.0,7156780.0,0.0,Sweden,ASSA B,18.443,,2,Overvalued,Wide,Industrials,industrials,"{'trend': [6718099.0, 6804017.0, 6895656.0, 7156780.0]}",Equity,SE0007100581,,,,,,2025-06-02T05:00:00.000,,,SEK,,,,,0,,,,False,,,,0,,,,19.3309,4,2026-01-07T06:00:00.000,Low,,,2,Qual,ST,SWE,Swedish Krona,7156780.5,False
Nokia Oyj,0P0000A5WF,0P0000A5WF,E,2.44078,1065474.0,6669867.0,0.0,Finland,NOKIA,37.1071,,2,Overvalued,None,Technology,technology,"{'trend': [5715595.0, 6070415.0, 5465882.0, 6669867.0]}",Equity,FI0009000681,,,,,,2025-06-02T05:00:00.000,,,EUR,,,,,0,,,,False,,,,0,,,,9.6503,5,2026-01-07T06:00:00.000,Negligible,,,1,Qual,ST,FIN,Euro,6669867.24,False
