securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,hasIssuerRating,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
HDFC Bank Ltd,0P0000C3NZ,0P0000C3NZ,E,6.49206,12603884.0,128530314.0,28322.0,India,HDFCBANK,9.6971,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [122996240.0, 123067786.0, 117595755.0, 128530314.0]}",Equity,INE040A01034,,,,,,2023-07-18T05:00:00.000,,,INR,INR,,,,0,,,,False,,,,0,,,,23.015,3.0,2026-01-07T06:00:00.000,Medium,,,3,Quan,ST,IND,Indian Rupee,128530313.63,False
Reliance Industries Ltd,0P0000B1W1,0P0000B1W1,E,6.0845,7578670.0,120461342.0,17030.0,India,RELIANCE,15.5637,,2,Overvalued,,Energy,energy,"{'trend': [115053410.0, 117241591.0, 106180855.0, 120461342.0]}",Equity,INE002A01018,,,,,,2019-06-26T05:00:00.000,,,INR,INR,,,,0,,,,False,,,,0,,,,39.7317,2.0,2026-01-07T06:00:00.000,High,,,2,Quan,ST,IND,Indian Rupee,120461341.6,False
ICICI Bank Ltd,0P0000BIOD,0P0000BIOD,E,4.60229,5867211.0,91116359.0,13184.0,India,ICICIBANK,12.4445,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [78917136.0, 77616597.0, 79822626.0, 91116359.0]}",Equity,INE090A01021,,,,,,2019-09-23T05:00:00.000,,,INR,INR,,,,0,,,,False,,,,0,,,,16.9815,4.0,2026-01-07T06:00:00.000,Low,,,3,Quan,ST,IND,Indian Rupee,91116359.4,False
Bharti Airtel Ltd,0P0000BJR2,0P0000BJR2,E,3.50756,3114507.0,69442895.0,7392.0,India,BHARTIARTL,21.2899,,2,Overvalued,,Communication Services,communicationsServices,"{'trend': [63166692.0, 64371536.0, 61344337.0, 69442895.0]}",Equity,INE397D01024,,,,,,2019-06-26T05:00:00.000,,,INR,INR,,,,0,,,,False,,,,0,,,,19.204,4.0,2026-01-07T06:00:00.000,Low,,,2,Quan,ST,IND,Indian Rupee,69442894.66,False
Infosys Ltd,0P0000AKOJ,0P0000AKOJ,E,2.99738,3917164.0,59342244.0,8802.0,India,INFY,-23.3926,,4,Undervalued,Wide,Technology,technology,"{'trend': [59186819.0, 62334978.0, 64541021.0, 59342244.0]}",Equity,INE009A01021,,,,,,2019-06-26T05:00:00.000,,,INR,INR,,,,0,,,,False,,,,0,,,,12.9032,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,IND,Indian Rupee,59342244.0,True
Mahindra & Mahindra Ltd,0P0000CA2F,0P0000CA2F,E,2.0331,1033822.0,40251521.0,2322.0,India,M&M,21.0833,,3,Fairly Valued,,Consumer Cyclical,consumerCyclical,"{'trend': [37622899.0, 37777307.0, 35623715.0, 40251521.0]}",Equity,INE101A01026,,,,,,2019-06-26T05:00:00.000,,,INR,INR,,,,0,,,,False,,,,0,,,,26.3364,3.0,2026-01-07T06:00:00.000,Medium,,,3,Quan,ST,IND,Indian Rupee,40251521.18,False
Axis Bank Ltd,0P0000CM8C,0P0000CM8C,E,1.95816,2552921.0,38767842.0,5736.0,India,532215,34.1655,,2,Overvalued,,Financial Services,financialService,"{'trend': [31641145.0, 31924253.0, 35127185.0, 38767842.0]}",Equity,INE238A01034,,,,,,2019-06-26T05:00:00.000,,,INR,INR,,,,0,,,,False,,,,0,,,,17.79,4.0,2026-01-07T06:00:00.000,Low,,,2,Quan,ST,IND,Indian Rupee,38767842.12,False
Larsen & Toubro Ltd,0P0000C9DZ,0P0000C9DZ,E,1.80024,747097.0,35641320.0,1678.0,India,LT,34.764,,3,Fairly Valued,,Industrials,industrials,"{'trend': [29448254.0, 30054861.0, 29498181.0, 35641320.0]}",Equity,INE018A01030,,,,,,2019-06-26T05:00:00.000,,,INR,INR,,,,0,,,,False,,,,0,,,,34.9211,2.0,2026-01-07T06:00:00.000,High,,,3,Quan,ST,IND,Indian Rupee,35641320.03,False
Bajaj Finance Ltd,0P0000BEJ2,0P0000BEJ2,E,1.7838,3127902.0,35315761.0,7028.0,India,500034,20.8289,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [31430178.0, 30406489.0, 29202773.0, 35315761.0]}",Equity,INE296A01032,,,,,,2019-06-26T05:00:00.000,,,INR,INR,,,,0,,,,False,,,,0,,,,15.549,4.0,2026-01-07T06:00:00.000,Low,,,3,Quan,ST,IND,Indian Rupee,35315761.49,False
Tata Consultancy Services Ltd,0P0000BEC4,0P0000BEC4,E,1.70436,1135377.0,33742951.0,2550.0,India,TCS,-26.0412,,3,Fairly Valued,Wide,Technology,technology,"{'trend': [34503008.0, 35862271.0, 35613121.0, 33742951.0]}",Equity,INE467B01029,,,,,,2019-06-26T05:00:00.000,,,INR,INR,,,,0,,,,False,,,,0,,,,15.7547,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,IND,Indian Rupee,33742950.81,True
