securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,hasIssuerRating,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
NVIDIA Corp,0P000003RE,0P000003RE,E,7.05251,11958.0,2246908.0,0.0,United States,NVDA,34.9853,,4,Undervalued,Wide,Technology,technology,"{'trend': [1867350.0, 1970372.0, 2019288.0, 2246908.0]}",Equity,US67066G1040,67066G104,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,12.4478,4.0,2026-01-07T06:00:00.000,Low,,,4,Qual,ST,USA,US Dollar,2246908.2,False
Microsoft Corp,0P000003MH,0P000003MH,E,4.15473,3322.0,1323684.0,0.0,United States,MSFT,-2.8932,,5,Undervalued,Wide,Technology,technology,"{'trend': [1443065.0, 1420876.0, 1264192.0, 1323684.0]}",Equity,US5949181045,594918104,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,14.3584,4.0,2026-01-07T06:00:00.000,Low,,,5,Qual,ST,USA,US Dollar,1323684.12,False
Alphabet Inc Class C,0P00012BBI,0P00012BBI,E,2.47919,2602.0,789863.0,0.0,United States,GOOG,62.6623,,3,Fairly Valued,Wide,Communication Services,communicationsServices,"{'trend': [734996.0, 722368.0, 779296.0, 789863.0]}",Equity,US02079K1079,02079K107,,,,,2025-11-25T06:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,19.9906,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,789863.12,False
Broadcom Inc,0P0000KU35,0P0000KU35,E,1.97293,1882.0,628569.0,0.0,United States,AVGO,47.0773,,4,Undervalued,Wide,Technology,technology,"{'trend': [668914.0, 574526.0, 551946.0, 628569.0]}",Equity,US11135F1012,11135F101,,,,,2022-12-01T06:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,19.9811,4.0,2026-01-07T06:00:00.000,Low,,,4,Qual,ST,USA,US Dollar,628569.18,False
Equinix Inc,0P00000205,0P00000205,ER,1.93924,673.0,617834.0,0.0,United States,EQIX,-0.2439,,3,Fairly Valued,Narrow,Real Estate,realEstate,"{'trend': [445960.0, 453567.0, 488453.0, 617834.0]}",Equity,US29444U7000,29444U700,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,12.2618,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,617834.19,False
Sherwin-Williams Co,0P000004X6,0P000004X6,E,1.92725,1717.0,614016.0,0.0,United States,SHW,2.5352,,1,Overvalued,Wide,Basic Materials,basicMaterials,"{'trend': [519659.0, 489933.0, 538698.0, 614016.0]}",Equity,US8243481061,824348106,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,32.6765,2.0,2026-01-07T06:00:00.000,High,,,2,Qual,ST,USA,US Dollar,614016.37,False
Alphabet Inc Class A,0P000002HD,0P000002HD,E,1.731,1821.0,551490.0,0.0,United States,GOOGL,63.9121,,3,Fairly Valued,Wide,Communication Services,communicationsServices,"{'trend': [513569.0, 504243.0, 544518.0, 551490.0]}",Equity,US02079K3059,02079K305,,,,,2025-11-25T06:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,19.9906,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,551489.85,False
Digital Realty Trust Inc,0P000001Q1,0P000001Q1,ER,1.46696,2642.0,467370.0,0.0,United States,DLR,7.1753,,3,Fairly Valued,None,Real Estate,realEstate,"{'trend': [371799.0, 359237.0, 387659.0, 467370.0]}",Equity,US2538681030,253868103,,,,,2022-06-01T05:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,12.2321,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,467369.8,False
Exelon Corp,0P0000021L,0P0000021L,E,1.15562,7774.0,368177.0,0.0,United States,EXC,14.7948,,3,Fairly Valued,Narrow,Utilities,utilities,"{'trend': [324044.0, 299768.0, 307952.0, 368177.0]}",Equity,US30161N1019,30161N101,,,,,2025-06-02T05:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,18.116,4.0,2026-01-07T06:00:00.000,Low,,,2,Qual,ST,USA,US Dollar,368176.64,False
Cisco Systems Inc,0P0000019Y,0P0000019Y,E,1.03983,4217.0,331288.0,0.0,United States,CSCO,23.6891,,3,Fairly Valued,Wide,Technology,technology,"{'trend': [287063.0, 287399.0, 292212.0, 331288.0]}",Equity,US17275R1023,17275R102,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,10.1869,4.0,2026-01-07T06:00:00.000,Low,,,2,Qual,ST,USA,US Dollar,331287.52,False
Visa Inc Class A,0P0000CPCP,0P0000CPCP,E,1.03508,1034.0,329774.0,0.0,United States,V,-9.5093,,3,Fairly Valued,Wide,Financial Services,financialService,"{'trend': [303672.0, 318445.0, 294153.0, 329774.0]}",Equity,US92826C8394,92826C839,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,13.8557,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,329773.62,False
Analog Devices Inc,0P000000FH,0P000000FH,E,0.9104,840.0,290052.0,0.0,United States,ADI,44.5254,,3,Fairly Valued,Wide,Technology,technology,"{'trend': [195290.0, 199603.0, 231295.0, 290052.0]}",Equity,US0326541051,032654105,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,15.9979,4.0,2026-01-07T06:00:00.000,Low,,,2,Qual,ST,USA,US Dollar,290052.0,False
Ferrovial SE,0P0001R6S9,0P0001R6S9,E,0.89554,3983.0,285316.0,0.0,Netherlands,FER,50.3457,,3,Fairly Valued,Wide,Industrials,industrials,"{'trend': [228747.0, 229041.0, 239055.0, 285316.0]}",Equity,NL0015001FS8,,,,,,2023-06-16T05:00:00.000,,,EUR,EUR,,,,0,,,,False,,,,0,,,,17.8448,4.0,2026-01-07T06:00:00.000,Low,,,2,Qual,ST,NLD,Euro,285315.97,False
Mastercard Inc Class A,0P00005U6B,0P00005U6B,E,0.88834,544.0,283021.0,0.0,United States,MA,-7.9314,,3,Fairly Valued,Wide,Financial Services,financialService,"{'trend': [262603.0, 274593.0, 259158.0, 283021.0]}",Equity,US57636Q1040,57636Q104,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,16.3025,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,283021.44,False
SAP SE,0P00009QRW,0P00009QRW,E,0.86234,1368.0,274739.0,0.0,Germany,SAP,-37.3543,,5,Undervalued,Wide,Technology,technology,"{'trend': [292618.0, 295841.0, 245323.0, 274739.0]}",Equity,DE0007164600,,,,,,2021-12-07T06:00:00.000,,,EUR,EUR,,,,0,,,,False,,,,0,,,,11.2255,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,DEU,Euro,274738.71,True
Advanced Micro Devices Inc,0P0000006A,0P0000006A,E,0.85217,1335.0,271499.0,0.0,United States,AMD,77.3215,,4,Undervalued,Narrow,Technology,technology,"{'trend': [257120.0, 253137.0, 279815.0, 271499.0]}",Equity,US0079031078,007903107,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,11.6193,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,271498.95,False
Marvell Technology Inc,0P000003H5,0P000003H5,E,0.81885,3277.0,260882.0,0.0,United States,MRVL,-28.089,,4,Undervalued,Narrow,Technology,technology,"{'trend': [257025.0, 244318.0, 228789.0, 260882.0]}",Equity,US5738741041,573874104,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,13.9025,4.0,2026-01-07T06:00:00.000,Low,,,5,Qual,ST,USA,US Dollar,260881.97,False
Xylem Inc,0P0000UDG9,0P0000UDG9,E,0.7588,1871.0,241752.0,0.0,United States,XYL,0.1152,,3,Fairly Valued,Narrow,Industrials,industrials,"{'trend': [232809.0, 225378.0, 228175.0, 241752.0]}",Equity,US98419M1009,98419M100,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,20.5739,3.0,2026-01-07T06:00:00.000,Medium,,,3,Qual,ST,USA,US Dollar,241751.91,False
Texas Instruments Inc,0P000005EI,0P000005EI,E,0.70152,1025.0,223501.0,0.0,United States,TXN,13.9008,,3,Fairly Valued,Wide,Technology,technology,"{'trend': [150938.0, 155621.0, 193348.0, 223501.0]}",Equity,US8825081040,882508104,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,19.3889,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,223501.25,False
AstraZeneca PLC,0P00007NYP,0P00007NYP,E,0.63408,982.0,202016.0,0.0,United Kingdom,AZN,34.0926,,2,Overvalued,Wide,Healthcare,healthcare,"{'trend': [160715.0, 160999.0, 161991.0, 202016.0]}",Equity,GB0009895292,G0593M107,,,,,2023-06-01T05:00:00.000,,,GBP,GBP,,,,0,,,,False,,,,0,,,,18.2653,4.0,2026-01-07T06:00:00.000,Low,,,2,Qual,ST,GBR,British Pound Sterling,202016.36,False
