securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,hasIssuerRating,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
Commonwealth Bank of Australia,0P00006WEM,0P00006WEM,E,9.108,2739146.0,338942496.0,234527.0,Australia,CBA,18.5513,,1,Overvalued,Wide,Financial Services,financialService,"{'trend': [271539997.0, 292623039.0, 293131205.0, 338942496.0]}",Equity,AU000000CBA7,,,,,,2026-02-06T06:00:00.000,,,AUD,AUD,,,,0,,,,False,,,,0,,,,15.8493,4.0,2026-01-07T06:00:00.000,Low,,,1,Qual,ST,AUS,Australian Dollar,338942496.0,False
BHP Group Ltd,0P00006WAE,0P00006WAE,E,8.30772,8322542.0,309160955.0,732674.0,Australia,BHP,37.0865,,2,Overvalued,None,Basic Materials,basicMaterials,"{'trend': [225168388.0, 251603003.0, 301037222.0, 309160955.0]}",Equity,AU000000BHP4,,,,,,2026-02-06T06:00:00.000,,,AUD,AUD,,,,0,,,,False,,,,0,,,,27.2382,3.0,2026-01-07T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,309160955.0,False
AIA Group Ltd,0P0000Q79U,0P0000Q79U,E,4.86733,17190424.0,181131267.0,514600.0,Hong Kong,01299,52.7699,,3,Fairly Valued,None,Financial Services,financialService,"{'trend': [176426625.0, 176095391.0, 203555888.0, 181131267.0]}",Equity,HK0000069689,,,,,,2026-02-06T06:00:00.000,,,HKD,HKD,,,,0,,,,False,,,,0,,,,15.7457,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,HKG,Hong Kong Dollar,181131267.0,False
Westpac Banking Corp,0P00006X21,0P00006X21,E,4.3164,5597771.0,160629265.0,415746.0,Australia,WBC,41.1595,,2,Overvalued,Wide,Financial Services,financialService,"{'trend': [136784640.0, 143777668.0, 155888103.0, 160629265.0]}",Equity,AU000000WBC1,,,,,,2026-02-06T06:00:00.000,,,AUD,AUD,,,,0,,,,False,,,,0,,,,12.6988,4.0,2026-01-07T06:00:00.000,Low,,,2,Qual,ST,AUS,Australian Dollar,160629265.0,False
National Australia Bank Ltd,0P00006WQA,0P00006WQA,E,4.30382,5015185.0,160161081.0,386149.0,Australia,NAB,42.4665,,1,Overvalued,Wide,Financial Services,financialService,"{'trend': [130673595.0, 141132863.0, 156278734.0, 160161081.0]}",Equity,AU000000NAB4,,,,,,2026-02-06T06:00:00.000,,,AUD,AUD,,,,0,,,,False,,,,0,,,,14.6631,4.0,2026-01-07T06:00:00.000,Low,,,2,Qual,ST,AUS,Australian Dollar,160161081.0,False
DBS Group Holdings Ltd,0P0000A67J,0P0000A67J,E,4.19205,3469935.0,156001740.0,488200.0,Singapore,D05,32.0313,,2,Overvalued,Narrow,Financial Services,financialService,"{'trend': [144554327.0, 152072735.0, 163135187.0, 156001740.0]}",Equity,SG1L01001701,,,,,,2026-02-06T06:00:00.000,,,SGD,SGD,,,,0,,,,False,,,,0,,,,14.5837,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,SGP,Singapore Dollar,156001740.0,False
ANZ Group Holdings Ltd,0P00006W6R,0P00006W6R,E,3.64057,4886852.0,135479254.0,383389.0,Australia,ANZ,45.0188,,2,Overvalued,Wide,Financial Services,financialService,"{'trend': [109948514.0, 118072655.0, 128424405.0, 135479254.0]}",Equity,AU000000ANZ3,,,,,,2026-02-06T06:00:00.000,,,AUD,AUD,,,,0,,,,False,,,,0,,,,21.4516,3.0,2026-01-07T06:00:00.000,Medium,,,2,Qual,ST,AUS,Australian Dollar,135479254.0,False
Wesfarmers Ltd,0P00006X1T,0P00006X1T,E,3.12668,1856545.0,116355362.0,158248.0,Australia,WES,12.7931,,1,Overvalued,Wide,Consumer Cyclical,consumerCyclical,"{'trend': [98846979.0, 100211326.0, 110864635.0, 116355362.0]}",Equity,AU000000WES1,,,,,,2026-02-06T06:00:00.000,,,AUD,AUD,,,,0,,,,False,,,,0,,,,13.9352,4.0,2026-01-07T06:00:00.000,Low,,,2,Qual,ST,AUS,Australian Dollar,116355362.0,False
Hong Kong Exchanges and Clearing Ltd,0P00009RX8,0P00009RX8,E,2.7506,1956932.0,102359900.0,160400.0,Hong Kong,00388,27.8083,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [103305982.0, 102479024.0, 108299424.0, 102359900.0]}",Equity,HK0388045442,,,,,,2026-02-06T06:00:00.000,,,HKD,HKD,,,,0,,,,False,,,,0,,,,16.2136,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,HKG,Hong Kong Dollar,102359900.0,False
Oversea-Chinese Banking Corp Ltd,0P0000A68H,0P0000A68H,E,2.48645,5546541.0,92530015.0,478900.0,Singapore,O39,28.1038,,2,Overvalued,Narrow,Financial Services,financialService,"{'trend': [78460069.0, 84970167.0, 94772811.0, 92530015.0]}",Equity,SG1S04926220,,,,,,2026-02-06T06:00:00.000,,,SGD,SGD,,,,0,,,,False,,,,0,,,,20.1794,3.0,2026-01-07T06:00:00.000,Medium,,,3,Qual,ST,SGP,Singapore Dollar,92530015.0,False
