securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,hasIssuerRating,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
NVIDIA Corp,0P000003RE,0P000003RE,E,4.84346,2651257.0,506734750.0,711210.0,United States,NVDA,34.9853,,4,Undervalued,Wide,Technology,technology,"{'trend': [457339459.0, 411421986.0, 466236386.0, 506734750.0]}",Equity,US67066G1040,67066G104,,,,,2016-04-30T05:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,12.4478,4.0,2026-01-07T06:00:00.000,Low,,,4,Qual,ST,USA,US Dollar,506734750.0,False
Apple Inc,0P000000GY,0P000000GY,E,4.01147,1617427.0,419689958.0,428391.0,United States,AAPL,6.8404,,3,Fairly Valued,Wide,Technology,technology,"{'trend': [373782470.0, 396673327.0, 414685185.0, 419689958.0]}",Equity,US0378331005,037833100,,,,,2011-05-31T05:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,15.2221,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,419689958.0,False
Microsoft Corp,0P000003MH,0P000003MH,E,3.15264,766546.0,329837078.0,207549.0,United States,MSFT,-2.8932,,5,Undervalued,Wide,Technology,technology,"{'trend': [338701592.0, 330946590.0, 350113314.0, 329837078.0]}",Equity,US5949181045,594918104,,,,,2011-05-31T05:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,14.3584,4.0,2026-01-07T06:00:00.000,Low,,,5,Qual,ST,USA,US Dollar,329837078.0,False
Amazon.com Inc,0P000000B7,0P000000B7,E,2.38062,1040813.0,249066551.0,289023.0,United States,AMZN,-9.606,,4,Undervalued,Wide,Consumer Cyclical,consumerCyclical,"{'trend': [216165472.0, 212414910.0, 226623231.0, 249066551.0]}",Equity,US0231351067,023135106,,,,,2011-05-31T05:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,16.6413,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,249066551.0,False
Alphabet Inc Class A,0P000002HD,0P000002HD,E,2.03289,629250.0,212686500.0,170783.0,United States,GOOGL,63.9121,,3,Fairly Valued,Wide,Communication Services,communicationsServices,"{'trend': [149701901.0, 175572624.0, 185468150.0, 212686500.0]}",Equity,US02079K3059,02079K305,,,,,2011-05-31T05:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,19.9906,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,212686500.0,False
Alphabet Inc Class C,0P00012BBI,0P00012BBI,E,1.74174,538284.0,182225282.0,140759.0,United States,GOOG,62.6623,,3,Fairly Valued,Wide,Communication Services,communicationsServices,"{'trend': [130794353.0, 152657545.0, 159701606.0, 182225282.0]}",Equity,US02079K1079,02079K107,,,,,2014-04-30T05:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,19.9906,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,182225282.0,False
Meta Platforms Inc Class A,0P0000W3KZ,0P0000W3KZ,E,1.6219,236828.0,169687262.0,63400.0,United States,META,-8.0836,,4,Undervalued,Wide,Communication Services,communicationsServices,"{'trend': [131152128.0, 134792391.0, 147617247.0, 169687262.0]}",Equity,US30303M1027,30303M102,,,,,2012-09-30T05:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,23.9125,3.0,2026-01-07T06:00:00.000,Medium,,,5,Qual,ST,USA,US Dollar,169687262.0,False
Broadcom Inc,0P0000KU35,0P0000KU35,E,1.54185,486906.0,161311958.0,134012.0,United States,AVGO,47.0773,,4,Undervalued,Wide,Technology,technology,"{'trend': [151869509.0, 170574580.0, 158623860.0, 161311958.0]}",Equity,US11135F1012,11135F101,,,,,2015-04-30T05:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,19.9811,4.0,2026-01-07T06:00:00.000,Low,,,4,Qual,ST,USA,US Dollar,161311958.0,False
Taiwan Semiconductor Manufacturing Co Ltd,0P0000ASAJ,0P0000ASAJ,E,1.42639,2645825.0,149232265.0,711000.0,Taiwan,2330,77.4312,,3,Fairly Valued,Wide,Technology,technology,"{'trend': [109633307.0, 105978907.0, 122529201.0, 149232265.0]}",Equity,TW0002330008,,,,,,2011-10-31T05:00:00.000,,,TWD,TWD,,,,0,,,,False,,,,0,,,,13.3304,4.0,2026-01-07T06:00:00.000,Low,,,3,Quan,ST,TWN,New Taiwan Dollar,149232265.0,False
Tesla Inc,0P0000OQN8,0P0000OQN8,E,1.27631,310240.0,133530398.0,80672.0,United States,TSLA,14.1863,,3,Fairly Valued,Narrow,Consumer Cyclical,consumerCyclical,"{'trend': [122026617.0, 116134716.0, 131228746.0, 133530398.0]}",Equity,US88160R1014,88160R101,,,,,2013-09-30T05:00:00.000,,,USD,USD,,,,0,,,,False,,,,0,,,,18.8401,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,133530398.0,False
