securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,hasIssuerRating,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
Samsung Electronics Co Ltd,0P0000B2XZ,0P0000B2XZ,E,12.14865,3015170.0,336205909.0,527064.0,South Korea,005930,228.3699,9.2081,2,Overvalued,None,Technology,technology,"{'trend': [190464497.0, 170140866.0, 207090285.0, 336205909.0]}",Equity,KR7005930003,,,,,,2013-05-31T05:00:00.000,,,KRW,,,,,0,,,,False,,,,0,,,,12.7256,4.0,2026-01-07T06:00:00.000,Low,,,1,Qual,ST,KOR,South Korean Won,336205908.71,False
SK Hynix Inc,0P0000AZ1B,0P0000AZ1B,E,7.92346,347224.0,219276515.0,60671.0,South Korea,000660,348.7873,5.7307,2,Overvalued,None,Technology,technology,"{'trend': [114493087.0, 103342522.0, 129496375.0, 219276515.0]}",Equity,KR7000660001,,,,,,2013-05-31T05:00:00.000,,,KRW,,,,,0,,,,False,,,,0,,,,17.8826,4.0,2026-01-07T06:00:00.000,Low,,,1,Qual,ST,KOR,South Korean Won,219276515.21,False
Commonwealth Bank of Australia,0P00006WEM,0P00006WEM,E,4.05333,1072051.0,112173138.0,187409.0,Australia,CBA,18.5513,,1,Overvalued,Wide,Financial Services,financialService,"{'trend': [101236589.0, 88550509.0, 94724014.0, 112173138.0]}",Equity,AU000000CBA7,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,False,,,,0,,,,15.8493,4.0,2026-01-07T06:00:00.000,Low,,,1,Qual,ST,AUS,Australian Dollar,112173137.85,False
BHP Group Ltd,0P00006WAE,0P00006WAE,E,4.02552,3144616.0,111403719.0,550009.0,Australia,BHP,37.0865,,2,Overvalued,None,Basic Materials,basicMaterials,"{'trend': [75189674.0, 70977085.0, 78707416.0, 111403719.0]}",Equity,AU000000BHP4,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,False,,,,0,,,,27.2382,3.0,2026-01-07T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,111403719.45,False
AIA Group Ltd,0P0000Q79U,0P0000Q79U,E,2.81884,6743000.0,78009405.0,1180400.0,Hong Kong,01299,52.7699,,3,Fairly Valued,None,Financial Services,financialService,"{'trend': [55011459.0, 57640346.0, 57101785.0, 78009405.0]}",Equity,HK0000069689,,,,,,2013-05-31T05:00:00.000,,,HKD,,,,,0,,,,False,,,,0,,,,15.7457,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,HKG,Hong Kong Dollar,78009404.97,False
DBS Group Holdings Ltd,0P0000A67J,0P0000A67J,E,2.17757,1291780.0,60262708.0,226100.0,Singapore,D05,32.0313,,2,Overvalued,Narrow,Financial Services,financialService,"{'trend': [44992981.0, 44647258.0, 46704296.0, 60262708.0]}",Equity,SG1L01001701,,,,,,2013-05-31T05:00:00.000,,,SGD,,,,,0,,,,False,,,,0,,,,14.5837,4.0,2026-01-07T06:00:00.000,Low,,,3,Qual,ST,SGP,Singapore Dollar,60262707.64,False
Westpac Banking Corp,0P00006X21,0P00006X21,E,2.15551,2193473.0,59652265.0,383864.0,Australia,WBC,41.1595,,2,Overvalued,Wide,Financial Services,financialService,"{'trend': [46756888.0, 44664092.0, 46580075.0, 59652265.0]}",Equity,AU000000WBC1,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,False,,,,0,,,,12.6988,4.0,2026-01-07T06:00:00.000,Low,,,2,Qual,ST,AUS,Australian Dollar,59652265.41,False
National Australia Bank Ltd,0P00006WQA,0P00006WQA,E,2.15334,1961377.0,59592227.0,343216.0,Australia,NAB,42.4665,,1,Overvalued,Wide,Financial Services,financialService,"{'trend': [47075659.0, 42598525.0, 45655477.0, 59592227.0]}",Equity,AU000000NAB4,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,False,,,,0,,,,14.6631,4.0,2026-01-07T06:00:00.000,Low,,,2,Qual,ST,AUS,Australian Dollar,59592227.32,False
ANZ Group Holdings Ltd,0P00006W6R,0P00006W6R,E,1.77252,1907930.0,49053231.0,334066.0,Australia,ANZ,45.0188,,2,Overvalued,Wide,Financial Services,financialService,"{'trend': [38474761.0, 35799260.0, 38139962.0, 49053231.0]}",Equity,AU000000ANZ3,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,False,,,,0,,,,21.4516,3.0,2026-01-07T06:00:00.000,Medium,,,2,Qual,ST,AUS,Australian Dollar,49053231.02,False
Samsung Electronics Co Ltd Participating Preferred,0P0000D5B8,0P0000D5B8,E,1.53593,521148.0,42505749.0,90784.0,South Korea,005935,176.0222,6.4683,1,Overvalued,None,Technology,technology,"{'trend': [25945677.0, 21947642.0, 26648481.0, 42505749.0]}",Equity,KR7005931001,,304011,corporate,Preferred,Technology,2017-10-31T05:00:00.000,,,KRW,,,,,0,,,,False,,,,0,,,,12.7256,4.0,2026-01-07T06:00:00.000,Low,,,1,Quan,ST,KOR,South Korean Won,42505749.06,False
