securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
NVIDIA Corp,0P000003RE,0P000003RE,E,6.75999,10550.0,1908812.0,0.0,United States,NVDA,27.4647,23.0415,4,Undervalued,Wide,Technology,technology,"{'trend': [1880167.0, 2239337.0, 1867350.0, 1908812.0]}",Equity,US67066G1040,67066G104,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,12.4478,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,1908811.5,False
Microsoft Corp,0P000003MH,0P000003MH,E,5.02186,2933.0,1418018.0,0.0,United States,MSFT,7.2004,30.1205,4,Undervalued,Wide,Technology,technology,"{'trend': [1490660.0, 1634726.0, 1443065.0, 1418018.0]}",Equity,US5949181045,594918104,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,14.3584,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,1418017.51,False
Alphabet Inc Class C,0P00012BBI,0P00012BBI,E,2.55076,2296.0,720255.0,0.0,United States,GOOG,60.7964,27.8552,3,Fairly Valued,Wide,Communication Services,communicationsServices,"{'trend': [357618.0, 390734.0, 734996.0, 720255.0]}",Equity,US02079K1079,02079K107,,,,,2025-11-25T06:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,19.9906,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,720255.2,False
Broadcom Inc,0P0000KU35,0P0000KU35,E,2.38898,1660.0,674574.0,0.0,United States,AVGO,100.5369,38.3142,4,Undervalued,Wide,Technology,technology,"{'trend': [550620.0, 677162.0, 668914.0, 674574.0]}",Equity,US11135F1012,11135F101,,,,,2022-12-01T06:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,19.9811,4.0,2025-12-03T06:00:00.000,Low,,,2,Qual,ST,USA,US Dollar,674574.2,False
Alphabet Inc Class A,0P000002HD,0P000002HD,E,1.77476,1604.0,501138.0,0.0,United States,GOOGL,61.5545,27.7778,3,Fairly Valued,Wide,Communication Services,communicationsServices,"{'trend': [273861.0, 300132.0, 513569.0, 501138.0]}",Equity,US02079K3059,02079K305,,,,,2025-11-25T06:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,19.9906,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,501137.72,False
Sherwin-Williams Co,0P000004X6,0P000004X6,E,1.7633,1512.0,497902.0,0.0,United States,SHW,-9.5407,25.7069,2,Overvalued,Wide,Basic Materials,basicMaterials,"{'trend': [421052.0, 459460.0, 519659.0, 497902.0]}",Equity,US8243481061,824348106,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,32.6765,2.0,2025-12-03T06:00:00.000,High,,,2,Qual,ST,USA,US Dollar,497901.6,False
Equinix Inc,0P00000205,0P00000205,ER,1.58107,592.0,446445.0,0.0,United States,EQIX,-21.1443,47.1698,4,Undervalued,Narrow,Real Estate,realEstate,"{'trend': [373605.0, 444155.0, 445960.0, 446445.0]}",Equity,US29444U7000,29444U700,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,12.2618,4.0,2025-12-03T06:00:00.000,Low,,,4,Qual,ST,USA,US Dollar,446444.96,False
Digital Realty Trust Inc,0P000001Q1,0P000001Q1,ER,1.30602,2322.0,368780.0,0.0,United States,DLR,-15.2942,95.2381,3,Fairly Valued,None,Real Estate,realEstate,"{'trend': [369617.0, 400804.0, 371799.0, 368780.0]}",Equity,US2538681030,253868103,,,,,2022-06-01T05:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,12.2321,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,368780.04,False
Visa Inc Class A,0P0000CPCP,0P0000CPCP,E,1.11143,908.0,313832.0,0.0,United States,V,11.4693,27.1739,3,Fairly Valued,Wide,Financial Services,financialService,"{'trend': [301780.0, 329836.0, 303672.0, 313832.0]}",Equity,US92826C8394,92826C839,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,13.8132,4.0,2025-12-03T06:00:00.000,Low,,,2,Qual,ST,USA,US Dollar,313832.04,False
SAP SE,0P00009QRW,0P00009QRW,E,1.05357,1209.0,297497.0,0.0,Germany,SAP,-12.8157,28.4091,4,Undervalued,Wide,Technology,technology,"{'trend': [256267.0, 273054.0, 292618.0, 297497.0]}",Equity,DE0007164600,,,,,,2021-12-07T06:00:00.000,,,EUR,EUR,,,,0,,,,,,,0,,,,11.2255,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,DEU,Euro,297496.57,False
Exelon Corp,0P0000021L,0P0000021L,E,1.04944,6877.0,296330.0,0.0,United States,EXC,22.6446,15.2905,3,Fairly Valued,Narrow,Utilities,utilities,"{'trend': [182966.0, 206848.0, 324044.0, 296330.0]}",Equity,US30161N1019,30161N101,,,,,2025-06-02T05:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,18.9383,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,296329.93,False
Cisco Systems Inc,0P0000019Y,0P0000019Y,E,1.04741,3731.0,295756.0,0.0,United States,CSCO,34.9703,18.9753,2,Overvalued,Wide,Technology,technology,"{'trend': [203618.0, 240020.0, 287063.0, 295756.0]}",Equity,US17275R1023,17275R102,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,10.1869,4.0,2025-12-03T06:00:00.000,Low,,,2,Qual,ST,USA,US Dollar,295756.37,False
Mastercard Inc Class A,0P00005U6B,0P00005U6B,E,0.95169,477.0,268727.0,0.0,United States,MA,7.9938,30.03,3,Fairly Valued,Wide,Financial Services,financialService,"{'trend': [264497.0, 280963.0, 262603.0, 268727.0]}",Equity,US57636Q1040,57636Q104,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,16.3025,4.0,2025-12-03T06:00:00.000,Low,,,2,Qual,ST,USA,US Dollar,268727.49,False
Advanced Micro Devices Inc,0P0000006A,0P0000006A,E,0.92691,1182.0,261730.0,0.0,United States,AMD,61.3936,34.1297,4,Undervalued,Narrow,Technology,technology,"{'trend': [205473.0, 358824.0, 257120.0, 261730.0]}",Equity,US0079031078,007903107,,,,,2021-12-07T06:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,11.6193,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,261730.26,False
