,securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
0,Commonwealth Bank of Australia,0P00006WEM,0P00006WEM,E,8.25398,2714968.0,277151109.0,-13104.0,Australia,CBA,2.0886,23.4742,1,Overvalued,Wide,Financial Services,financialService,"{'trend': [299621237.0, 307177564.0, 271539997.0, 277151109.0]}",Equity,AU000000CBA7,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,15.8493,4.0,2025-12-03T06:00:00.000,Low,,,2,Qual,ST,AUS,Australian Dollar,277151109.0,False
1,BHP Group Ltd,0P00006WAE,0P00006WAE,E,7.25353,8239741.0,243558265.0,-39813.0,Australia,BHP,13.1855,13.947,3,Fairly Valued,None,Basic Materials,basicMaterials,"{'trend': [231700136.0, 235869314.0, 225168388.0, 243558265.0]}",Equity,AU000000BHP4,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,27.2382,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,243558265.0,False
2,AIA Group Ltd,0P0000Q79U,0P0000Q79U,E,5.05476,17042024.0,169728187.0,-82200.0,Hong Kong,01299,39.792,13.4409,4,Undervalued,None,Financial Services,financialService,"{'trend': [165424953.0, 168575970.0, 176426625.0, 169728187.0]}",Equity,HK0000069689,,,,,,2010-12-31T06:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,15.7457,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,HKG,Hong Kong Dollar,169728187.0,False
3,DBS Group Holdings Ltd,0P0000A67J,0P0000A67J,E,4.29766,3454735.0,144306146.0,-19500.0,Singapore,D05,32.169,13.7552,2,Overvalued,Narrow,Financial Services,financialService,"{'trend': [136255911.0, 144008163.0, 144554327.0, 144306146.0]}",Equity,SG1L01001701,,,,,,2010-02-28T06:00:00.000,,,SGD,SGD,,,,0,,,,,,,0,,,,14.5837,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,SGP,Singapore Dollar,144306146.0,False
4,Westpac Banking Corp,0P00006X21,0P00006X21,E,4.14107,5548748.0,139048429.0,-26970.0,Australia,WBC,26.189,18.3486,2,Overvalued,Wide,Financial Services,financialService,"{'trend': [143066931.0, 141782144.0, 136784640.0, 139048429.0]}",Equity,AU000000WBC1,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,12.6988,4.0,2025-12-03T06:00:00.000,Low,,,2,Qual,ST,AUS,Australian Dollar,139048429.0,False
5,National Australia Bank Ltd,0P00006WQA,0P00006WQA,E,4.0227,4969036.0,135073822.0,-24174.0,Australia,NAB,16.5072,17.4825,2,Overvalued,Wide,Financial Services,financialService,"{'trend': [145027274.0, 142893931.0, 130673595.0, 135073822.0]}",Equity,AU000000NAB4,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,14.6631,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,AUS,Australian Dollar,135073822.0,False
6,ANZ Group Holdings Ltd,0P00006W6R,0P00006W6R,E,3.37199,4839957.0,113224321.0,-23610.0,Australia,ANZ,28.6745,14.0845,3,Fairly Valued,Wide,Financial Services,financialService,"{'trend': [106241656.0, 116946711.0, 109948514.0, 113224321.0]}",Equity,AU000000ANZ3,,,,,,2023-01-03T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,21.4516,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,113224321.0,False
7,Hong Kong Exchanges and Clearing Ltd,0P00009RX8,0P00009RX8,E,3.01678,1956932.0,101296932.0,0.0,Hong Kong,00388,32.8719,27.1739,3,Fairly Valued,Wide,Financial Services,financialService,"{'trend': [108212398.0, 104536470.0, 103305982.0, 101296932.0]}",Equity,HK0388045442,,,,,,2010-02-28T06:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,16.2136,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,HKG,Hong Kong Dollar,101296932.0,False
8,Wesfarmers Ltd,0P00006X1T,0P00006X1T,E,2.95067,1840828.0,99077072.0,-9003.0,Australia,WES,12.8418,32.6797,1,Overvalued,Wide,Consumer Cyclical,consumerCyclical,"{'trend': [112131280.0, 101948228.0, 98846979.0, 99077072.0]}",Equity,AU000000WES1,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,13.9352,4.0,2025-12-03T06:00:00.000,Low,,,1,Qual,ST,AUS,Australian Dollar,99077072.0,False
9,CSL Ltd,0P00006WCJ,0P00006WCJ,E,2.82523,787009.0,94865081.0,-3849.0,Australia,CSL,-32.2938,25.974,5,Undervalued,Narrow,Healthcare,healthcare,"{'trend': [102951351.0, 92440388.0, 96153250.0, 94865081.0]}",Equity,AU000000CSL8,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,25.0256,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,94865081.0,True
