,securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
0,Samsung Electronics Co Ltd,0P0000B2XZ,0P0000B2XZ,E,9.5843,2524319.0,190464497.0,15444.0,South Korea,005930,97.4329,9.9502,2,Overvalued,None,Technology,technology,"{'trend': [133874176.0, 126285621.0, 150026451.0, 190464497.0]}",Equity,KR7005930003,,,,,,2013-05-31T05:00:00.000,,,KRW,,,,,0,,,,,,,0,,,,12.7256,4.0,2025-12-03T06:00:00.000,Low,,,1,Qual,ST,KOR,South Korean Won,190464497.28,False
1,SK Hynix Inc,0P0000AZ1B,0P0000AZ1B,E,5.76137,291814.0,114493087.0,1784.0,South Korea,000660,225.6269,6.5789,1,Overvalued,None,Technology,technology,"{'trend': [59287850.0, 56346720.0, 71833096.0, 114493087.0]}",Equity,KR7000660001,,,,,,2013-05-31T05:00:00.000,,,KRW,,,,,0,,,,,,,0,,,,17.8826,4.0,2025-12-03T06:00:00.000,Low,,,1,Qual,ST,KOR,South Korean Won,114493087.21,False
2,Commonwealth Bank of Australia,0P00006WEM,0P00006WEM,E,5.09429,900969.0,101236589.0,5500.0,Australia,CBA,2.0886,23.4742,1,Overvalued,Wide,Financial Services,financialService,"{'trend': [106283100.0, 100212104.0, 99050485.0, 101236589.0]}",Equity,AU000000CBA7,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,15.8493,4.0,2025-12-03T06:00:00.000,Low,,,2,Qual,ST,AUS,Australian Dollar,101236588.92,False
3,BHP Group Ltd,0P00006WAE,0P00006WAE,E,3.7836,2643378.0,75189674.0,16268.0,Australia,BHP,13.1855,13.947,3,Fairly Valued,None,Basic Materials,basicMaterials,"{'trend': [68793271.0, 74541083.0, 74049709.0, 75189674.0]}",Equity,AU000000BHP4,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,27.2382,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,75189673.92,False
4,AIA Group Ltd,0P0000Q79U,0P0000Q79U,E,2.76821,5666800.0,55011459.0,34400.0,Hong Kong,01299,39.792,13.4409,4,Undervalued,None,Financial Services,financialService,"{'trend': [55567073.0, 54203685.0, 54040751.0, 55011459.0]}",Equity,HK0000069689,,,,,,2013-05-31T05:00:00.000,,,HKD,,,,,0,,,,,,,0,,,,15.7457,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,HKG,Hong Kong Dollar,55011458.79,False
5,National Australia Bank Ltd,0P00006WQA,0P00006WQA,E,2.36888,1648548.0,47075659.0,10104.0,Australia,NAB,16.5072,17.4825,2,Overvalued,Wide,Financial Services,financialService,"{'trend': [42533353.0, 46068108.0, 47941545.0, 47075659.0]}",Equity,AU000000NAB4,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,14.6631,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,AUS,Australian Dollar,47075658.91,False
6,Westpac Banking Corp,0P00006X21,0P00006X21,E,2.35284,1843643.0,46756888.0,11268.0,Australia,WBC,26.189,18.3486,2,Overvalued,Wide,Financial Services,financialService,"{'trend': [41331901.0, 46489716.0, 47325420.0, 46756888.0]}",Equity,AU000000WBC1,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,12.6988,4.0,2025-12-03T06:00:00.000,Low,,,2,Qual,ST,AUS,Australian Dollar,46756887.62,False
7,DBS Group Holdings Ltd,0P0000A67J,0P0000A67J,E,2.26408,1085780.0,44992981.0,6800.0,Singapore,D05,32.169,13.7552,2,Overvalued,Narrow,Financial Services,financialService,"{'trend': [41293409.0, 42659671.0, 42809360.0, 44992981.0]}",Equity,SG1L01001701,,,,,,2013-05-31T05:00:00.000,,,SGD,,,,,0,,,,,,,0,,,,14.5837,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,SGP,Singapore Dollar,44992981.21,False
8,ANZ Group Holdings Ltd,0P00006W6R,0P00006W6R,E,1.93608,1603588.0,38474761.0,9716.0,Australia,ANZ,28.6745,14.0845,3,Fairly Valued,Wide,Financial Services,financialService,"{'trend': [32668182.0, 35261931.0, 35081005.0, 38474761.0]}",Equity,AU000000ANZ3,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,21.4516,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,38474760.59,False
9,Hong Kong Exchanges and Clearing Ltd,0P00009RX8,0P00009RX8,E,1.76649,644100.0,35104701.0,4000.0,Hong Kong,00388,32.8719,27.1739,3,Fairly Valued,Wide,Financial Services,financialService,"{'trend': [36036624.0, 37181026.0, 36363709.0, 35104701.0]}",Equity,HK0388045442,,,,,,2013-05-31T05:00:00.000,,,HKD,,,,,0,,,,,,,0,,,,16.2136,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,HKG,Hong Kong Dollar,35104701.37,False
