,securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
0,Alphabet Inc Class A,0P000002HD,0P000002HD,E,6.76693,7246.0,2037503.0,0.0,United States,GOOGL,61.5545,27.7778,3,Fairly Valued,Wide,Communication Services,communicationsServices,"{'trend': [912421.0, 1171248.0, 1761503.0, 2037503.0]}",Equity,US02079K3059,02079K305,,,,,2025-09-30T05:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,19.9906,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,2037503.0,False
1,HubSpot Inc,0P00014CDR,0P00014CDR,E,5.95178,3643.0,1792065.0,0.0,United States,HUBS,-48.8162,32.8947,5,Undervalued,Narrow,Technology,technology,"{'trend': [1098540.0, 1021421.0, 1704195.0, 1792065.0]}",Equity,US4435731009,443573100,,,,,2025-06-30T05:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,16.6761,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,1792065.0,True
2,SBA Communications Corp Class A,0P000004R6,0P000004R6,ER,5.60327,8811.0,1687130.0,0.0,United States,SBAC,-9.234,21.645,4,Undervalued,Narrow,Real Estate,realEstate,"{'trend': [523373.0, 1804933.0, 1703607.0, 1687130.0]}",Equity,US78410G1040,78410G104,,,,,2025-06-30T05:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,11.7811,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,1687130.0,True
3,Alnylam Pharmaceuticals Inc,0P000000A8,0P000000A8,E,5.44648,3596.0,1639920.0,3596.0,United States,ALNY,62.0933,44.843,2,Overvalued,Narrow,Healthcare,healthcare,"{'trend': [1639920.0, None, None, None]}",Equity,US02043Q1076,02043Q107,,,,,2025-10-31T05:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,24.729,3.0,2025-12-03T06:00:00.000,Medium,,,2,Qual,ST,USA,US Dollar,1639920.0,False
4,Prudential Financial Inc,0P000004I3,0P000004I3,E,4.96863,14385.0,1496040.0,6999.0,United States,PRU,1.451,8.1235,3,Fairly Valued,None,Financial Services,financialService,"{'trend': [766224.0, 1496040.0, None, None]}",Equity,US7443201022,744320102,,,,,2025-09-30T05:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,19.2607,4.0,2025-12-03T06:00:00.000,Low,,,4,Qual,ST,USA,US Dollar,1496040.0,False
5,Allstate Corp,0P000000A3,0P000000A3,E,4.46587,7021.0,1344662.0,2534.0,United States,ALL,9.818,8.7413,2,Overvalued,None,Financial Services,financialService,"{'trend': [963135.0, 1344662.0, None, None]}",Equity,US0200021014,020002101,,,,,2025-09-30T05:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,23.6929,3.0,2025-12-03T06:00:00.000,Medium,,,2,Qual,ST,USA,US Dollar,1344662.0,False
6,NVIDIA Corp,0P000003RE,0P000003RE,E,3.54075,5265.0,1066110.0,5265.0,United States,NVDA,27.4647,23.0415,4,Undervalued,Wide,Technology,technology,"{'trend': [1482292.0, 1838984.0, 620081.0, 1066110.0]}",Equity,US67066G1040,67066G104,,,,,2025-10-31T05:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,12.4478,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,1066110.0,False
7,Atlassian Corp Class A,0P000172LN,0P000172LN,E,3.47734,6180.0,1047016.0,0.0,United States,TEAM,-41.9586,33.2226,4,Undervalued,Narrow,Technology,technology,"{'trend': [761175.0, 705609.0, 986946.0, 1047016.0]}",Equity,US0494681010,049468101,,,,,2025-06-30T05:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,17.1936,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,1047016.0,True
8,Neurocrine Biosciences Inc,0P000003V7,0P000003V7,E,3.41263,7175.0,1027532.0,0.0,United States,NBIX,20.5142,21.3675,3,Fairly Valued,,Healthcare,healthcare,"{'trend': [407771.0, 1007226.0, 1027532.0, None]}",Equity,US64125C1099,64125C109,,,,,2025-09-30T05:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,26.0099,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,USA,US Dollar,1027532.0,False
9,Marvell Technology Inc,0P000003H5,0P000003H5,E,3.31564,10650.0,998331.0,10650.0,United States,MRVL,-22.3293,23.4742,4,Undervalued,Narrow,Technology,technology,"{'trend': [973688.0, 550920.0, 998331.0, None]}",Equity,US5738741041,573874104,,,,,2025-10-31T05:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,13.9025,4.0,2025-12-03T06:00:00.000,Low,,,5,Qual,ST,USA,US Dollar,998331.0,False
10,Moodys Corp,0P000003P7,0P000003P7,E,3.11855,1955.0,938986.0,0.0,United States,MCO,-0.8853,29.7619,4,Undervalued,Wide,Financial Services,financialService,"{'trend': [246003.0, 375183.0, 931518.0, 938986.0]}",Equity,US6153691059,615369105,,,,,2025-05-31T05:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,14.6238,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,USA,US Dollar,938986.0,False
11,Burlington Stores Inc,0P0000ZKWP,0P0000ZKWP,E,3.09666,3408.0,932395.0,804.0,United States,BURL,-8.2132,22.6244,3,Fairly Valued,,Consumer Cyclical,consumerCyclical,"{'trend': [710788.0, 756931.0, 662718.0, 932395.0]}",Equity,US1220171060,122017106,,,,,2025-05-31T05:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,15.8055,4.0,2025-12-03T06:00:00.000,Low,,,3,Quan,ST,USA,US Dollar,932395.0,False
